Id,DateTime,Day,Category,MenuItem
15,2019-09-14 11:55:00,Saturday,durumler,Çöp Şiş Dürüm
16,2019-09-14 11:57:00,Saturday,icecekler,Soda (20 cl.)
16,2019-09-14 11:57:00,Saturday,izgaralar,Çöp Şiş
17,2019-09-14 12:06:00,Saturday,baslangiclar,Kuruluk Dolması
17,2019-09-14 12:06:00,Saturday,icecekler,Fanta (33 cl.)
17,2019-09-14 12:06:00,Saturday,kebaplar,Patlıcanlı Kebap
18,2019-09-14 12:09:00,Saturday,icecekler,Soda (20 cl.)
18,2019-09-14 12:09:00,Saturday,kebaplar,Alinazik Kebap (Kıymadan)
19,2019-09-14 12:13:00,Saturday,icecekler,Fanta (33 cl.)
19,2019-09-14 12:13:00,Saturday,kebaplar,Beyti Kebabı
20,2019-09-14 12:20:00,Saturday,icecekler,Coca-Cola (33 cl.)
20,2019-09-14 12:20:00,Saturday,izgaralar,Çöp Şiş
21,2019-09-14 12:26:00,Saturday,icecekler,Soda (20 cl.)
21,2019-09-14 12:26:00,Saturday,durumler,Tavuk Şiş Dürüm
22,2019-09-14 12:27:00,Saturday,tatlilar,Baklava
22,2019-09-14 12:27:00,Saturday,kebaplar,Sarma Beyti Kebabı
23,2019-09-14 12:28:00,Saturday,pideler,Kaşarlı Pide
24,2019-09-14 12:40:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
24,2019-09-14 12:40:00,Saturday,icecekler,Coca-Cola (33 cl.)
24,2019-09-14 12:40:00,Saturday,durumler,Şefin Dürümü (Spesiyal)
25,2019-09-14 12:59:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
25,2019-09-14 12:59:00,Saturday,icecekler,Ayran (30 cl.)
25,2019-09-14 12:59:00,Saturday,tatlilar,Fıstıklı Künefe
25,2019-09-14 12:59:00,Saturday,durumler,Ali Haydar Dürüm
26,2019-09-14 13:04:00,Saturday,corbalar,Domates Çorbası
26,2019-09-14 13:04:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
26,2019-09-14 13:04:00,Saturday,kebaplar,Altı Ezmeli Kebap (Şişten)
27,2019-09-14 13:12:00,Saturday,corbalar,Yayla Çorbası
27,2019-09-14 13:12:00,Saturday,tatlilar,Kazandibi
27,2019-09-14 13:12:00,Saturday,pideler,Karışık Pide
28,2019-09-14 13:20:00,Saturday,baslangiclar,Kuruluk Dolması
28,2019-09-14 13:20:00,Saturday,icecekler,Soda (20 cl.)
28,2019-09-14 13:20:00,Saturday,tatlilar,Baklava
28,2019-09-14 13:20:00,Saturday,kebaplar,Yoğurtlu Antep Kebabı
29,2019-09-14 13:21:00,Saturday,icecekler,Coca-Cola (33 cl.)
29,2019-09-14 13:21:00,Saturday,tatlilar,Fıstıklı Künefe
29,2019-09-14 13:21:00,Saturday,pideler,Kıymalı Pide
30,2019-09-14 13:32:00,Saturday,icecekler,Cappy (33 cl.)
30,2019-09-14 13:32:00,Saturday,durumler,Çöp Şiş Dürüm
31,2019-09-14 13:50:00,Saturday,icecekler,Fanta (33 cl.)
31,2019-09-14 13:50:00,Saturday,kebaplar,Yoğurtlu Antep Kebabı
32,2019-09-14 14:07:00,Saturday,icecekler,Coca-Cola (33 cl.)
32,2019-09-14 14:07:00,Saturday,izgaralar,Tavuk Pirzola
33,2019-09-14 14:12:00,Saturday,izgaralar,Kuzu Şiş
34,2019-09-14 14:24:00,Saturday,baslangiclar,Kuruluk Dolması
34,2019-09-14 14:24:00,Saturday,icecekler,Ayran (30 cl.)
34,2019-09-14 14:24:00,Saturday,izgaralar,Izgara Köfte
35,2019-09-14 14:39:00,Saturday,baslangiclar,Kuruluk Dolması
35,2019-09-14 14:39:00,Saturday,tatlilar,Fırın Sütlaç
35,2019-09-14 14:39:00,Saturday,kebaplar,Yoğurtlu Antep Kebabı
36,2019-09-14 14:51:00,Saturday,pideler,Kavurmalı Pide
37,2019-09-14 14:58:00,Saturday,baslangiclar,Kuruluk Dolması
37,2019-09-14 14:58:00,Saturday,icecekler,Şalgam Suyu (33 cl.)
37,2019-09-14 14:58:00,Saturday,tatlilar,Baklava
37,2019-09-14 14:58:00,Saturday,durumler,Kuzu Şiş Dürüm
38,2019-09-14 15:00:00,Saturday,icecekler,Coca-Cola Şekersiz (33 cl.)
38,2019-09-14 15:00:00,Saturday,tatlilar,Baklava
38,2019-09-14 15:00:00,Saturday,durumler,Adana Dürüm
39,2019-09-14 15:13:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
39,2019-09-14 15:13:00,Saturday,icecekler,Ayran (30 cl.)
39,2019-09-14 15:13:00,Saturday,kebaplar,Yoğurtlu Kebap
40,2019-09-14 15:27:00,Saturday,icecekler,Ayran (30 cl.)
40,2019-09-14 15:27:00,Saturday,izgaralar,Izgara Köfte
41,2019-09-14 15:35:00,Saturday,tatlilar,Baklava
41,2019-09-14 15:35:00,Saturday,kebaplar,Yoğurtlu Kebap
42,2019-09-14 15:39:00,Saturday,icecekler,Fanta (33 cl.)
42,2019-09-14 15:39:00,Saturday,izgaralar,Tavuk Pirzola
43,2019-09-14 15:57:00,Saturday,corbalar,Yayla Çorbası
43,2019-09-14 15:57:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
43,2019-09-14 15:57:00,Saturday,pideler,Kuşbaşılı Pide
44,2019-09-14 16:15:00,Saturday,icecekler,Soda (20 cl.)
44,2019-09-14 16:15:00,Saturday,tatlilar,Fıstıklı Künefe
44,2019-09-14 16:15:00,Saturday,izgaralar,Tavuk Pirzola
45,2019-09-14 16:18:00,Saturday,icecekler,Şalgam Suyu (33 cl.)
45,2019-09-14 16:18:00,Saturday,kebaplar,Domatesli Kebap
46,2019-09-14 16:37:00,Saturday,corbalar,Tavuk Suyu Çorbası
46,2019-09-14 16:37:00,Saturday,baslangiclar,Kuruluk Dolması
46,2019-09-14 16:37:00,Saturday,icecekler,Cappy (33 cl.)
46,2019-09-14 16:37:00,Saturday,tatlilar,Fıstıklı Künefe
46,2019-09-14 16:37:00,Saturday,izgaralar,Tavuk Şiş
47,2019-09-14 16:40:00,Saturday,pideler,Kavurmalı Pide
48,2019-09-14 16:46:00,Saturday,corbalar,Tarhana Çorbası
48,2019-09-14 16:46:00,Saturday,tatlilar,Fırın Sütlaç
48,2019-09-14 16:46:00,Saturday,pideler,Karışık Pide
49,2019-09-14 16:52:00,Saturday,icecekler,Coca-Cola (33 cl.)
49,2019-09-14 16:52:00,Saturday,pideler,Karışık Pide
50,2019-09-14 17:00:00,Saturday,corbalar,Süzme Mercimek Çorbası
50,2019-09-14 17:00:00,Saturday,icecekler,Cappy (33 cl.)
50,2019-09-14 17:00:00,Saturday,tatlilar,Kazandibi
50,2019-09-14 17:00:00,Saturday,kebaplar,Yoğurtlu Antep Kebabı
51,2019-09-14 17:10:00,Saturday,corbalar,Domates Çorbası
51,2019-09-14 17:10:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
51,2019-09-14 17:10:00,Saturday,icecekler,Şalgam Suyu (33 cl.)
51,2019-09-14 17:10:00,Saturday,durumler,Adana Dürüm
52,2019-09-14 17:12:00,Saturday,kebaplar,Sac Kavurma
53,2019-09-14 17:15:00,Saturday,tatlilar,Baklava
53,2019-09-14 17:15:00,Saturday,izgaralar,Tavuk Pirzola
54,2019-09-14 17:33:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
54,2019-09-14 17:33:00,Saturday,tatlilar,Kazandibi
54,2019-09-14 17:33:00,Saturday,izgaralar,Çöp Şiş
55,2019-09-14 17:45:00,Saturday,icecekler,Ayran (30 cl.)
55,2019-09-14 17:45:00,Saturday,tatlilar,Baklava
55,2019-09-14 17:45:00,Saturday,durumler,Şefin Dürümü (Spesiyal)
56,2019-09-14 17:59:00,Saturday,tatlilar,Kazandibi
56,2019-09-14 17:59:00,Saturday,kebaplar,Domatesli Kebap
57,2019-09-14 18:02:00,Saturday,icecekler,Ayran (30 cl.)
57,2019-09-14 18:02:00,Saturday,durumler,Çöp Şiş Dürüm
58,2019-09-14 18:07:00,Saturday,tatlilar,Baklava
58,2019-09-14 18:07:00,Saturday,pideler,Kavurmalı Pide
59,2019-09-14 18:10:00,Saturday,icecekler,Cappy (33 cl.)
59,2019-09-14 18:10:00,Saturday,tatlilar,Fırın Sütlaç
59,2019-09-14 18:10:00,Saturday,durumler,Şefin Dürümü (Spesiyal)
60,2019-09-14 18:29:00,Saturday,kebaplar,Altı Ezmeli Kebap (Şişten)
61,2019-09-14 18:48:00,Saturday,icecekler,Coca-Cola Şekersiz (33 cl.)
61,2019-09-14 18:48:00,Saturday,durumler,Ali Haydar Dürüm
62,2019-09-14 18:49:00,Saturday,tatlilar,Fıstıklı Künefe
62,2019-09-14 18:49:00,Saturday,durumler,Tavuk Şiş Dürüm
63,2019-09-14 19:03:00,Saturday,icecekler,Soda (20 cl.)
63,2019-09-14 19:03:00,Saturday,durumler,Şefin Dürümü (Spesiyal)
64,2019-09-14 19:19:00,Saturday,icecekler,Ayran (30 cl.)
64,2019-09-14 19:19:00,Saturday,tatlilar,Baklava
64,2019-09-14 19:19:00,Saturday,durumler,Adana Dürüm
65,2019-09-14 19:36:00,Saturday,tatlilar,Baklava
65,2019-09-14 19:36:00,Saturday,pideler,Kavurmalı Pide
66,2019-09-14 19:43:00,Saturday,icecekler,Şalgam Suyu (33 cl.)
66,2019-09-14 19:43:00,Saturday,tatlilar,Fıstıklı Künefe
66,2019-09-14 19:43:00,Saturday,durumler,Çöp Şiş Dürüm
67,2019-09-14 20:01:00,Saturday,icecekler,Cappy (33 cl.)
67,2019-09-14 20:01:00,Saturday,pideler,Kuşbaşılı Kaşarlı Pide
68,2019-09-14 20:19:00,Saturday,baslangiclar,Kızartma İçli Köfte (Adet)
68,2019-09-14 20:19:00,Saturday,izgaralar,Izgara Köfte
69,2019-09-14 20:36:00,Saturday,baslangiclar,Kuruluk Dolması
69,2019-09-14 20:36:00,Saturday,icecekler,Coca-Cola (33 cl.)
69,2019-09-14 20:36:00,Saturday,tatlilar,Fıstıklı Künefe
69,2019-09-14 20:36:00,Saturday,pideler,Kıymalı Pide
70,2019-09-14 20:44:00,Saturday,icecekler,Coca-Cola Şekersiz (33 cl.)
70,2019-09-14 20:44:00,Saturday,tatlilar,Fırın Sütlaç
70,2019-09-14 20:44:00,Saturday,pideler,Karışık Pide
71,2019-09-14 20:52:00,Saturday,corbalar,Domates Çorbası
71,2019-09-14 20:52:00,Saturday,icecekler,Fanta (33 cl.)
71,2019-09-14 20:52:00,Saturday,pideler,Kıymalı Pide
72,2019-09-14 21:03:00,Saturday,corbalar,Domates Çorbası
72,2019-09-14 21:03:00,Saturday,icecekler,Sprite (33 cl.)
72,2019-09-14 21:03:00,Saturday,pideler,Kavurmalı Pide
73,2019-09-14 21:22:00,Saturday,baslangiclar,Kuruluk Dolması
73,2019-09-14 21:22:00,Saturday,icecekler,Soda (20 cl.)
73,2019-09-14 21:22:00,Saturday,tatlilar,Baklava
73,2019-09-14 21:22:00,Saturday,durumler,Tavuk Şiş Dürüm
74,2019-09-14 21:37:00,Saturday,icecekler,Soda (20 cl.)
74,2019-09-14 21:37:00,Saturday,pideler,Kuşbaşılı Pide
75,2019-09-14 21:54:00,Saturday,tatlilar,Kazandibi
75,2019-09-14 21:54:00,Saturday,pideler,Kaşarlı Sucuklu Pide
76,2019-09-14 22:06:00,Saturday,icecekler,Ayran (30 cl.)
76,2019-09-14 22:06:00,Saturday,tatlilar,Fıstıklı Künefe
76,2019-09-14 22:06:00,Saturday,pideler,Karışık Pide
77,2019-09-14 22:20:00,Saturday,baslangiclar,Kuruluk Dolması
77,2019-09-14 22:20:00,Saturday,icecekler,Coca-Cola (33 cl.)
77,2019-09-14 22:20:00,Saturday,tatlilar,Fıstıklı Künefe
77,2019-09-14 22:20:00,Saturday,kebaplar,Ali Haydar Kebabı
78,2019-09-14 22:38:00,Saturday,corbalar,Tarhana Çorbası
78,2019-09-14 22:38:00,Saturday,baslangiclar,Kuruluk Dolması
78,2019-09-14 22:38:00,Saturday,tatlilar,Baklava
78,2019-09-14 22:38:00,Saturday,izgaralar,Tavuk Pirzola
79,2019-09-14 22:43:00,Saturday,icecekler,Coca-Cola Şekersiz (33 cl.)
79,2019-09-14 22:43:00,Saturday,kebaplar,Altı Ezmeli Kebap (Kıymadan)
80,2019-09-15 09:00:00,Sunday,corbalar,Domates Çorbası
80,2019-09-15 09:00:00,Sunday,icecekler,Sprite (33 cl.)
80,2019-09-15 09:00:00,Sunday,pideler,Kıymalı Pide
81,2019-09-15 09:17:00,Sunday,baslangiclar,Kuruluk Dolması
81,2019-09-15 09:17:00,Sunday,icecekler,Ayran (30 cl.)
81,2019-09-15 09:17:00,Sunday,durumler,Kuzu Şiş Dürüm
82,2019-09-15 09:23:00,Sunday,icecekler,Cappy (33 cl.)
82,2019-09-15 09:23:00,Sunday,kebaplar,Sarma Beyti Kebabı
83,2019-09-15 09:36:00,Sunday,pideler,Karışık Pide
84,2019-09-15 09:40:00,Sunday,baslangiclar,Kuruluk Dolması
84,2019-09-15 09:40:00,Sunday,tatlilar,Kazandibi
84,2019-09-15 09:40:00,Sunday,pideler,Kavurmalı Pide
85,2019-09-15 09:52:00,Sunday,corbalar,Tarhana Çorbası
85,2019-09-15 09:52:00,Sunday,tatlilar,Fırın Sütlaç
85,2019-09-15 09:52:00,Sunday,durumler,Şefin Dürümü (Spesiyal)
86,2019-09-15 09:58:00,Sunday,baslangiclar,Kuruluk Dolması
86,2019-09-15 09:58:00,Sunday,icecekler,Sprite (33 cl.)
86,2019-09-15 09:58:00,Sunday,tatlilar,Baklava
86,2019-09-15 09:58:00,Sunday,pideler,Kıymalı Pide
87,2019-09-15 10:06:00,Sunday,baslangiclar,Kuruluk Dolması
87,2019-09-15 10:06:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
87,2019-09-15 10:06:00,Sunday,durumler,Çöp Şiş Dürüm
88,2019-09-15 10:16:00,Sunday,corbalar,Domates Çorbası
88,2019-09-15 10:16:00,Sunday,icecekler,Ayran (30 cl.)
88,2019-09-15 10:16:00,Sunday,tatlilar,Kazandibi
88,2019-09-15 10:16:00,Sunday,pideler,Karışık Pide
89,2019-09-15 10:17:00,Sunday,icecekler,Sprite (33 cl.)
89,2019-09-15 10:17:00,Sunday,kebaplar,Domatesli Kebap
90,2019-09-15 10:33:00,Sunday,corbalar,Tavuk Suyu Çorbası
90,2019-09-15 10:33:00,Sunday,tatlilar,Baklava
90,2019-09-15 10:33:00,Sunday,durumler,Kuzu Şiş Dürüm
91,2019-09-15 10:47:00,Sunday,corbalar,Yayla Çorbası
91,2019-09-15 10:47:00,Sunday,icecekler,Fanta (33 cl.)
91,2019-09-15 10:47:00,Sunday,tatlilar,Baklava
91,2019-09-15 10:47:00,Sunday,izgaralar,Kuzu Şiş
92,2019-09-15 11:03:00,Sunday,corbalar,Süzme Mercimek Çorbası
92,2019-09-15 11:03:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
92,2019-09-15 11:03:00,Sunday,icecekler,Sprite (33 cl.)
92,2019-09-15 11:03:00,Sunday,tatlilar,Fıstıklı Künefe
92,2019-09-15 11:03:00,Sunday,durumler,Ali Haydar Dürüm
93,2019-09-15 11:15:00,Sunday,baslangiclar,Kuruluk Dolması
93,2019-09-15 11:15:00,Sunday,icecekler,Şalgam Suyu (33 cl.)
93,2019-09-15 11:15:00,Sunday,pideler,Kıymalı Pide
94,2019-09-15 11:25:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
94,2019-09-15 11:25:00,Sunday,pideler,Kaşarlı Sucuklu Pide
95,2019-09-15 11:35:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
95,2019-09-15 11:35:00,Sunday,icecekler,Fanta (33 cl.)
95,2019-09-15 11:35:00,Sunday,tatlilar,Baklava
95,2019-09-15 11:35:00,Sunday,kebaplar,Sac Kavurma
96,2019-09-15 11:42:00,Sunday,corbalar,Tarhana Çorbası
96,2019-09-15 11:42:00,Sunday,baslangiclar,Kuruluk Dolması
96,2019-09-15 11:42:00,Sunday,icecekler,Ayran (30 cl.)
96,2019-09-15 11:42:00,Sunday,durumler,Kuzu Şiş Dürüm
97,2019-09-15 11:53:00,Sunday,baslangiclar,Kuruluk Dolması
97,2019-09-15 11:53:00,Sunday,icecekler,Şalgam Suyu (33 cl.)
97,2019-09-15 11:53:00,Sunday,pideler,Kıymalı Pide
98,2019-09-15 11:56:00,Sunday,corbalar,Tavuk Suyu Çorbası
98,2019-09-15 11:56:00,Sunday,icecekler,Şalgam Suyu (33 cl.)
98,2019-09-15 11:56:00,Sunday,tatlilar,Fırın Sütlaç
98,2019-09-15 11:56:00,Sunday,pideler,Kavurmalı Pide
99,2019-09-15 12:06:00,Sunday,baslangiclar,Kuruluk Dolması
99,2019-09-15 12:06:00,Sunday,icecekler,Ayran (30 cl.)
99,2019-09-15 12:06:00,Sunday,kebaplar,Sarma Beyti Kebabı
100,2019-09-15 12:16:00,Sunday,kebaplar,Alinazik Kebap (Şişten)
101,2019-09-15 12:26:00,Sunday,corbalar,Yayla Çorbası
101,2019-09-15 12:26:00,Sunday,icecekler,Ayran (30 cl.)
101,2019-09-15 12:26:00,Sunday,tatlilar,Kazandibi
101,2019-09-15 12:26:00,Sunday,durumler,Kuzu Şiş Dürüm
102,2019-09-15 12:32:00,Sunday,baslangiclar,Kuruluk Dolması
102,2019-09-15 12:32:00,Sunday,icecekler,Şalgam Suyu (33 cl.)
102,2019-09-15 12:32:00,Sunday,kebaplar,Alinazik Kebap (Şişten)
103,2019-09-15 12:41:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
103,2019-09-15 12:41:00,Sunday,kebaplar,Karışık Kebap
104,2019-09-15 12:59:00,Sunday,icecekler,Cappy (33 cl.)
104,2019-09-15 12:59:00,Sunday,tatlilar,Fırın Sütlaç
104,2019-09-15 12:59:00,Sunday,kebaplar,Patlıcanlı Kebap
105,2019-09-15 13:15:00,Sunday,baslangiclar,Kuruluk Dolması
105,2019-09-15 13:15:00,Sunday,pideler,Kuşbaşılı Pide
106,2019-09-15 13:26:00,Sunday,tatlilar,Fıstıklı Künefe
106,2019-09-15 13:26:00,Sunday,pideler,Kaşarlı Pide
107,2019-09-15 13:37:00,Sunday,corbalar,Yayla Çorbası
107,2019-09-15 13:37:00,Sunday,icecekler,Coca-Cola (33 cl.)
107,2019-09-15 13:37:00,Sunday,izgaralar,Tavuk Şiş
108,2019-09-15 13:57:00,Sunday,icecekler,Ayran (30 cl.)
108,2019-09-15 13:57:00,Sunday,izgaralar,Tavuk Kanat
109,2019-09-15 14:17:00,Sunday,icecekler,Ayran (30 cl.)
109,2019-09-15 14:17:00,Sunday,kebaplar,Karışık Kebap
110,2019-09-15 14:21:00,Sunday,pideler,Kuşbaşılı Pide
111,2019-09-15 14:33:00,Sunday,baslangiclar,Kuruluk Dolması
111,2019-09-15 14:33:00,Sunday,icecekler,Soda (20 cl.)
111,2019-09-15 14:33:00,Sunday,tatlilar,Fıstıklı Künefe
111,2019-09-15 14:33:00,Sunday,pideler,Kaşarlı Sucuklu Pide
112,2019-09-15 14:40:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
112,2019-09-15 14:40:00,Sunday,icecekler,Sprite (33 cl.)
112,2019-09-15 14:40:00,Sunday,pideler,Kavurmalı Pide
113,2019-09-15 14:48:00,Sunday,corbalar,Yayla Çorbası
113,2019-09-15 14:48:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
113,2019-09-15 14:48:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
113,2019-09-15 14:48:00,Sunday,tatlilar,Fıstıklı Künefe
113,2019-09-15 14:48:00,Sunday,durumler,Tavuk Şiş Dürüm
114,2019-09-15 14:57:00,Sunday,baslangiclar,Kuruluk Dolması
114,2019-09-15 14:57:00,Sunday,icecekler,Sprite (33 cl.)
114,2019-09-15 14:57:00,Sunday,kebaplar,Karışık Kebap
115,2019-09-15 15:10:00,Sunday,icecekler,Ayran (30 cl.)
115,2019-09-15 15:10:00,Sunday,durumler,Kuzu Şiş Dürüm
116,2019-09-15 15:25:00,Sunday,tatlilar,Baklava
116,2019-09-15 15:25:00,Sunday,kebaplar,Yoğurtlu Kebap
117,2019-09-15 15:36:00,Sunday,icecekler,Coca-Cola (33 cl.)
117,2019-09-15 15:36:00,Sunday,kebaplar,Patlıcanlı Kebap
118,2019-09-15 15:54:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
118,2019-09-15 15:54:00,Sunday,tatlilar,Kazandibi
118,2019-09-15 15:54:00,Sunday,izgaralar,Tavuk Pirzola
119,2019-09-15 15:59:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
119,2019-09-15 15:59:00,Sunday,tatlilar,Kazandibi
119,2019-09-15 15:59:00,Sunday,kebaplar,Altı Ezmeli Kebap (Kıymadan)
120,2019-09-15 16:16:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
120,2019-09-15 16:16:00,Sunday,kebaplar,Altı Ezmeli Kebap (Şişten)
121,2019-09-15 16:30:00,Sunday,corbalar,Tavuk Suyu Çorbası
121,2019-09-15 16:30:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
121,2019-09-15 16:30:00,Sunday,tatlilar,Fırın Sütlaç
121,2019-09-15 16:30:00,Sunday,durumler,Tavuk Şiş Dürüm
122,2019-09-15 16:33:00,Sunday,icecekler,Soda (20 cl.)
122,2019-09-15 16:33:00,Sunday,tatlilar,Kazandibi
122,2019-09-15 16:33:00,Sunday,izgaralar,Tavuk Kanat
123,2019-09-15 16:50:00,Sunday,icecekler,Sprite (33 cl.)
123,2019-09-15 16:50:00,Sunday,tatlilar,Fıstıklı Künefe
123,2019-09-15 16:50:00,Sunday,durumler,Urfa Dürüm
124,2019-09-15 17:02:00,Sunday,durumler,Çöp Şiş Dürüm
125,2019-09-15 17:08:00,Sunday,tatlilar,Fıstıklı Künefe
125,2019-09-15 17:08:00,Sunday,durumler,Kuzu Şiş Dürüm
126,2019-09-15 17:26:00,Sunday,icecekler,Fanta (33 cl.)
126,2019-09-15 17:26:00,Sunday,tatlilar,Baklava
126,2019-09-15 17:26:00,Sunday,kebaplar,Alinazik Kebap (Şişten)
127,2019-09-15 17:39:00,Sunday,corbalar,Yayla Çorbası
127,2019-09-15 17:39:00,Sunday,icecekler,Şalgam Suyu (33 cl.)
127,2019-09-15 17:39:00,Sunday,durumler,Adana Dürüm
128,2019-09-15 17:58:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
128,2019-09-15 17:58:00,Sunday,icecekler,Cappy (33 cl.)
128,2019-09-15 17:58:00,Sunday,durumler,Kuzu Şiş Dürüm
129,2019-09-15 18:07:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
129,2019-09-15 18:07:00,Sunday,kebaplar,Patlıcanlı Kebap
130,2019-09-15 18:20:00,Sunday,corbalar,Süzme Mercimek Çorbası
130,2019-09-15 18:20:00,Sunday,baslangiclar,Kuruluk Dolması
130,2019-09-15 18:20:00,Sunday,icecekler,Coca-Cola (33 cl.)
130,2019-09-15 18:20:00,Sunday,kebaplar,Yoğurtlu Kebap
131,2019-09-15 18:25:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
131,2019-09-15 18:25:00,Sunday,icecekler,Coca-Cola Şekersiz (33 cl.)
131,2019-09-15 18:25:00,Sunday,tatlilar,Fırın Sütlaç
131,2019-09-15 18:25:00,Sunday,kebaplar,Alinazik Kebap (Kıymadan)
132,2019-09-15 18:26:00,Sunday,icecekler,Ayran (30 cl.)
132,2019-09-15 18:26:00,Sunday,tatlilar,Fıstıklı Künefe
132,2019-09-15 18:26:00,Sunday,pideler,Kaşarlı Pide
133,2019-09-15 18:40:00,Sunday,icecekler,Sprite (33 cl.)
133,2019-09-15 18:40:00,Sunday,durumler,Urfa Dürüm
134,2019-09-15 18:53:00,Sunday,baslangiclar,Kızartma İçli Köfte (Adet)
134,2019-09-15 18:53:00,Sunday,izgaralar,Çöp Şiş
135,2019-09-15 18:54:00,Sunday,corbalar,Tavuk Suyu Çorbası
135,2019-09-15 18:54:00,Sunday,icecekler,Soda (20 cl.)
135,2019-09-15 18:54:00,Sunday,kebaplar,Yoğurtlu Kebap
